Benchmark,manual,custom,adams2019,adams2019Halide
bgu,12.0921,6.79602625,9.20196625,8.68461125
bilateral_grid,5.51105,2.14013,5.4815425,5.47523
camera_pipe,1.39191375,5.7412125,3.59101875,3.93177375
conv_layer,5.4600575,34.1573125,12.5806875,12.4725125
depthwise_separable_conv,nan,1.40136875,1.28208375,1.28956375
harris,1.747655,3.31894375,3.4393825,3.4498837499999997
hist,6.586041249999999,5.6051075,7.4442325,7.4262925
iir_blur,10.15581375,7.7474775,11.519974999999999,11.4509125
interpolate,7.57631,18.676375,23.7694125,23.9254625
lens_blur,8.12836875,12.709475,25.9836625,25.274375
local_laplacian,19.107075000000002,211.267125,38.8136875,39.390600000000006
max_filter,17.5472875,36.4979,22.636525,23.0432625
nl_means,17.3181625,120.05574999999999,35.1218625,35.5947125
stencil_chain,5.083625,21.408949999999997,8.94870375,9.132806249999998
unsharp,1.8707725,2.40789875,3.7575675000000004,3.738095
